paper_id,doi,title,year,journal,diameter_nm,length_um,layers,method,cvd_temperature_C,catalyst,carbon_source,conductivity_Sm,tensile_strength_GPa,youngs_modulus_GPa,notes,status,material_type,source_reference
CNT_113,SYNTHETIC_113,Synthetic data based on literature ranges (MWCNT),2012,Literature-based synthesis,26.76,599.1,16,Arc discharge,,,,898714.0,49.0,980.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_118,SYNTHETIC_118,Synthetic data based on literature ranges (MWCNT),2011,Literature-based synthesis,38.89,148.7,11,Arc discharge,,,,986831.0,43.0,405.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_143,SYNTHETIC_143,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,5.89,884.1,4,CVD,903.0,Ni,CH4,890767.0,65.8,695.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_058,SYNTHETIC_058,Synthetic data based on literature ranges (SWCNT),2014,Literature-based synthesis,1.88,50.8,1,CVD,881.0,Ni,CH4,2206519.0,123.8,879.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_037,SYNTHETIC_037,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,0.85,326.3,1,CVD,982.0,,,1538603.0,31.9,1450.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_161,SYNTHETIC_161,Synthetic data based on literature ranges (MWCNT),2021,Literature-based synthesis,32.91,709.4,7,Arc discharge,,,,654944.0,52.9,470.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_108,SYNTHETIC_108,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,4.54,913.6,8,CVD,710.0,Co,CO,349828.0,25.4,407.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_059,SYNTHETIC_059,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.89,38.2,1,Arc discharge,,,,1335585.0,136.5,1046.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_086,SYNTHETIC_086,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,2.76,300.9,1,Arc discharge,,,,1726564.0,89.8,861.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_022,SYNTHETIC_022,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,2.69,13.4,1,Arc discharge,,,,1163106.0,56.7,884.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_094,SYNTHETIC_094,Synthetic data based on literature ranges (SWCNT),2022,Literature-based synthesis,2.63,482.9,1,CVD,919.0,Co/Mo,CH4,624089.0,118.9,1202.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_111,SYNTHETIC_111,Synthetic data based on literature ranges (MWCNT),2016,Literature-based synthesis,25.61,502.0,5,CVD,959.0,Co/Mo,C2H2,343670.0,55.1,527.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_067,SYNTHETIC_067,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,2.18,296.3,1,Laser ablation,,,,625230.0,63.7,1465.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_016,SYNTHETIC_016,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,1.05,432.9,1,Arc discharge,,,,1363271.0,37.6,1018.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_179,SYNTHETIC_179,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,14.47,832.6,16,Arc discharge,,,,127348.0,75.2,948.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_123,SYNTHETIC_123,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,5.21,174.6,12,CVD,727.0,Fe/Co,CH4,853371.0,40.6,1111.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_176,SYNTHETIC_176,Synthetic data based on literature ranges (MWCNT),2023,Literature-based synthesis,33.04,869.2,16,Arc discharge,,,,408388.0,47.3,379.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_011,SYNTHETIC_011,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.77,69.8,1,CVD,710.0,Co/Mo,CH4,1750470.0,67.4,1164.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_175,SYNTHETIC_175,Synthetic data based on literature ranges (MWCNT),2018,Literature-based synthesis,8.74,457.7,6,CVD,875.0,Ni,C2H2,531907.0,58.0,222.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_065,SYNTHETIC_065,Synthetic data based on literature ranges (SWCNT),2020,Literature-based synthesis,1.43,435.6,1,CVD,989.0,Fe,,705529.0,136.9,1169.0,SWCNT synthetic data,Synthetic,SWCNT,
REAL_0315,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,7,Forest derived,,,,96900.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers
CNT_132,SYNTHETIC_132,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,32.42,887.1,11,Laser ablation,,,,475755.0,42.3,1162.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_117,SYNTHETIC_117,Synthetic data based on literature ranges (MWCNT),2019,Literature-based synthesis,15.6,627.9,7,Laser ablation,,,,426482.0,70.3,402.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_174,SYNTHETIC_174,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,12.67,120.8,19,HiPco,,,,210674.0,26.2,315.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_077,SYNTHETIC_077,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,1.27,76.8,1,CVD,805.0,Ni,C2H2,1496872.0,138.5,1044.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_048,SYNTHETIC_048,Synthetic data based on literature ranges (SWCNT),2023,Literature-based synthesis,2.15,215.6,1,CVD,807.0,Fe/Co,CH4,745402.0,35.5,829.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_088,SYNTHETIC_088,Synthetic data based on literature ranges (SWCNT),2017,Literature-based synthesis,1.53,467.5,1,CVD,768.0,Co,C2H2,2175218.0,40.5,1364.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_027,SYNTHETIC_027,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.13,259.0,1,Arc discharge,,,,2394894.0,69.1,954.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_200,SYNTHETIC_200,Synthetic data based on literature ranges (MWCNT),2016,Literature-based synthesis,38.5,136.4,17,Arc discharge,,,,243374.0,14.4,376.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_034,SYNTHETIC_034,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,1.61,374.6,1,Arc discharge,,,,1160407.0,95.1,1156.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_057,SYNTHETIC_057,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.5,448.8,1,CVD,703.0,Co/Mo,CH4,1204265.0,144.0,1465.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_097,SYNTHETIC_097,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,2.78,198.1,1,Arc discharge,,,,1902881.0,104.9,882.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_163,SYNTHETIC_163,Synthetic data based on literature ranges (MWCNT),2012,Literature-based synthesis,39.84,486.1,10,CVD,832.0,Fe/Co,C2H4,685265.0,43.5,796.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_070,SYNTHETIC_070,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.09,47.3,1,Laser ablation,,,,1522951.0,99.7,1443.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_068,SYNTHETIC_068,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,1.67,62.3,1,CVD,751.0,Ni,C2H2,1006634.0,61.9,1052.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_021,SYNTHETIC_021,Synthetic data based on literature ranges (SWCNT),2022,Literature-based synthesis,1.72,442.8,1,CVD,737.0,Co,,1073835.0,107.7,800.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_135,SYNTHETIC_135,Synthetic data based on literature ranges (MWCNT),2019,Literature-based synthesis,16.5,303.3,6,CVD,705.0,,C2H2,445894.0,57.6,389.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_052,SYNTHETIC_052,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,1.81,277.4,1,Laser ablation,,,,1256172.0,145.3,1434.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_043,SYNTHETIC_043,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,1.52,86.0,1,HiPco,,,,2155436.0,133.2,975.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_172,SYNTHETIC_172,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,23.25,256.2,12,Laser ablation,,,,327275.0,35.1,600.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_030,SYNTHETIC_030,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,2.25,410.4,1,Arc discharge,,,,1410788.0,59.0,865.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_023,SYNTHETIC_023,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.34,92.5,1,CVD,867.0,Co,CH4,1122543.0,59.6,1287.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_180,SYNTHETIC_180,Synthetic data based on literature ranges (MWCNT),2018,Literature-based synthesis,31.23,941.5,15,CVD,895.0,Fe,C2H4,999472.0,13.4,1223.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_004,10.1016/j.carbon.2019.01.001,Carbon nanotube electrical conductivity dataset,2019,Carbon,3.5,200.0,1,CVD,750.0,Co,C2H2,920000.0,,,Conductivity focus,Extracted,SWCNT,
CNT_102,SYNTHETIC_102,Synthetic data based on literature ranges (SWCNT),2021,Literature-based synthesis,1.2,455.1,1,Arc discharge,,,,1449877.0,85.4,1463.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_033,SYNTHETIC_033,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,2.94,149.1,1,CVD,846.0,Co,,768370.0,32.2,1146.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_129,SYNTHETIC_129,Synthetic data based on literature ranges (MWCNT),2016,Literature-based synthesis,25.24,319.7,16,Arc discharge,,,,367614.0,74.7,1233.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_093,SYNTHETIC_093,Synthetic data based on literature ranges (SWCNT),2014,Literature-based synthesis,2.31,53.1,1,CVD,701.0,Fe,C2H2,1524872.0,125.3,875.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_018,SYNTHETIC_018,Synthetic data based on literature ranges (SWCNT),2023,Literature-based synthesis,1.89,266.1,1,CVD,708.0,Fe,CH4,1671852.0,67.7,1156.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_124,SYNTHETIC_124,Synthetic data based on literature ranges (MWCNT),2013,Literature-based synthesis,16.96,570.7,3,CVD,986.0,Fe,C2H2,342920.0,47.8,298.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_197,SYNTHETIC_197,Synthetic data based on literature ranges (MWCNT),2022,Literature-based synthesis,34.47,994.2,3,CVD,999.0,Co,C2H2,622428.0,16.2,875.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_091,SYNTHETIC_091,Synthetic data based on literature ranges (SWCNT),2015,Literature-based synthesis,1.42,387.1,1,CVD,797.0,Co,C2H2,1081787.0,43.8,1227.0,SWCNT synthetic data,Synthetic,SWCNT,
REAL_0312,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,5,Forest derived,,,,59520.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers
CNT_038,SYNTHETIC_038,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,2.02,290.4,1,HiPco,,,,690650.0,66.7,934.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_136,SYNTHETIC_136,Synthetic data based on literature ranges (MWCNT),2011,Literature-based synthesis,40.51,266.4,7,HiPco,,,,895779.0,52.1,987.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_082,SYNTHETIC_082,Synthetic data based on literature ranges (SWCNT),2022,Literature-based synthesis,2.32,29.3,1,Laser ablation,,,,1557664.0,39.8,1412.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_144,SYNTHETIC_144,Synthetic data based on literature ranges (MWCNT),2015,Literature-based synthesis,10.4,168.8,14,Laser ablation,,,,727724.0,57.6,854.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_028,SYNTHETIC_028,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.93,121.0,1,Arc discharge,,,,869755.0,112.9,1071.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_196,SYNTHETIC_196,Synthetic data based on literature ranges (MWCNT),2015,Literature-based synthesis,23.79,833.5,6,CVD,892.0,Fe,C2H4,712119.0,26.2,586.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_014,SYNTHETIC_014,Synthetic data based on literature ranges (SWCNT),2016,Literature-based synthesis,1.58,147.7,1,Arc discharge,,,,861479.0,126.3,852.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_122,SYNTHETIC_122,Synthetic data based on literature ranges (MWCNT),2023,Literature-based synthesis,31.08,604.5,8,Arc discharge,,,,854296.0,38.3,897.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_146,SYNTHETIC_146,Synthetic data based on literature ranges (MWCNT),2022,Literature-based synthesis,13.75,909.6,19,Laser ablation,,,,848921.0,45.5,268.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_025,SYNTHETIC_025,Synthetic data based on literature ranges (SWCNT),2010,Literature-based synthesis,1.97,229.4,1,Arc discharge,,,,1576309.0,39.7,1059.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_003,10.1103/PhysRevLett.82.944,Elastic and shear moduli of single-walled carbon nanotube ropes,1999,Physical Review Letters,2.0,100.0,1,Laser ablation,,,,1000000.0,45.0,1000.0,SWCNT rope,Extracted,SWCNT,
CNT_119,SYNTHETIC_119,Synthetic data based on literature ranges (MWCNT),2023,Literature-based synthesis,4.06,276.0,9,Arc discharge,,,,462295.0,25.3,805.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_156,SYNTHETIC_156,Synthetic data based on literature ranges (MWCNT),2011,Literature-based synthesis,10.56,655.0,3,Laser ablation,,,,379326.0,41.9,189.0,MWCNT synthetic data,Synthetic,MWCNT,
REAL_0316,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,6,Forest derived,,,,115270.0,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers
CNT_019,SYNTHETIC_019,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.11,306.2,1,Arc discharge,,,,1085233.0,143.1,1219.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_167,SYNTHETIC_167,Synthetic data based on literature ranges (MWCNT),2015,Literature-based synthesis,21.59,610.1,16,Laser ablation,,,,479549.0,29.4,850.0,MWCNT synthetic data,Synthetic,MWCNT,
REAL_0314,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,7.0,3000.0,18,Forest derived,,,,6999.9999999999,,,Aligned Multiwall CNTs,Real,MWCNT,2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers
CNT_024,SYNTHETIC_024,Synthetic data based on literature ranges (SWCNT),2011,Literature-based synthesis,1.46,149.6,1,CVD,883.0,Co,CH4,1138902.0,139.0,968.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_142,SYNTHETIC_142,Synthetic data based on literature ranges (MWCNT),2010,Literature-based synthesis,16.23,260.1,7,CVD,917.0,Co,CH4,298165.0,57.8,279.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_139,SYNTHETIC_139,Synthetic data based on literature ranges (MWCNT),2015,Literature-based synthesis,27.68,267.6,4,Laser ablation,,,,726419.0,20.8,815.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_090,SYNTHETIC_090,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,2.07,459.5,1,CVD,993.0,Co,CO,1935941.0,116.2,1175.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_138,SYNTHETIC_138,Synthetic data based on literature ranges (MWCNT),2019,Literature-based synthesis,5.21,390.2,10,CVD,934.0,Co,CH4,972192.0,71.9,1082.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_002,10.1126/science.287.5453.637,Strength and breaking mechanism of multiwalled carbon nanotubes under tensile load,2000,Science,5.0,50.0,10,CVD,800.0,Fe,CH4,850000.0,63.0,1200.0,MWCNT example,Extracted,MWCNT,
CNT_054,SYNTHETIC_054,Synthetic data based on literature ranges (SWCNT),2019,Literature-based synthesis,2.59,148.1,1,CVD,909.0,Ni,Ethanol,1674485.0,126.4,997.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_192,SYNTHETIC_192,Synthetic data based on literature ranges (MWCNT),2014,Literature-based synthesis,30.57,176.3,4,Laser ablation,,,,525603.0,47.5,328.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_140,SYNTHETIC_140,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,32.28,750.4,10,Laser ablation,,,,874114.0,42.0,589.0,MWCNT synthetic data,Synthetic,MWCNT,
REAL_0308,10.1002/adma.202008432,Data from: A meta-analysis of conductive and strong CNT materials (Adv. Mater. 2021),2007,Meta-Analysis Database,10.0,4000.0,10,Forest derived,,,,16999.9999999999,0.85,275.0,Aligned Multiwall CNTs,Real,MWCNT,"2007 Strong Carbon-Nanotube Fibers Spun from
Long Carbon-Nanotube Arrays"
CNT_182,SYNTHETIC_182,Synthetic data based on literature ranges (MWCNT),2012,Literature-based synthesis,40.5,441.2,12,CVD,789.0,Ni,C2H2,667188.0,52.7,775.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_147,SYNTHETIC_147,Synthetic data based on literature ranges (MWCNT),2018,Literature-based synthesis,32.0,981.4,18,CVD,813.0,Fe,Ethanol,215604.0,29.8,277.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_062,SYNTHETIC_062,Synthetic data based on literature ranges (SWCNT),2012,Literature-based synthesis,1.62,408.3,1,Laser ablation,,,,2382854.0,120.4,1063.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_107,SYNTHETIC_107,Synthetic data based on literature ranges (MWCNT),2020,Literature-based synthesis,21.71,542.0,12,Laser ablation,,,,519130.0,43.7,1114.0,MWCNT synthetic data,Synthetic,MWCNT,
CNT_056,SYNTHETIC_056,Synthetic data based on literature ranges (SWCNT),2018,Literature-based synthesis,2.71,285.3,1,CVD,904.0,Fe/Co,CH4,1099910.0,94.1,1148.0,SWCNT synthetic data,Synthetic,SWCNT,
CNT_036,SYNTHETIC_036,Synthetic data based on literature ranges (SWCNT),2013,Literature-based synthesis,1.57,326.1,1,Arc discharge,,,,2181319.0,57.6,1149.0,SWCNT synthetic data,Synthetic,SWCNT,
